method_id,display_name,avg_entropy,avg_spread_1_99,avg_high_frequency_share,avg_mean_gradient,avg_clipped_pixel_ratio,avg_runtime_ms
hf_tone_baseline,HF + Tone Baseline,7.3011357793098455,230.25,0.5067286144634005,52.39838077104293,0.03524873309391801,3858.4780375000005
clahe_t16_c001,CLAHE 16x16 clip=0.01,7.587126984075534,242.75,0.06390418663225521,23.30031851730559,0.047922445965838695,1836.9688499999997
clahe_t16_c001_boosted,CLAHE 16x16 clip=0.01 + High Boost,7.508975989478025,249.375,0.12148590019469505,34.326932115621716,0.08823006578671036,1606.2426749999995
